,Rating,No_of_ratings,Review,Size,RAM,Price,MRP
243,4.3,115,6,40,8,482,726
244,4.5,425,50,40,16,989,1384
245,4.3,45,4,40,8,737,1014
246,4.4,46,8,40,16,1330,1918
247,4.2,253,20,36,16,611,724
248,4.253596615,2841,241,34,32,3482,4178
249,4.5,1361,186,36,16,916,1136
250,4.253596615,2841,241,41,16,2082,2468
251,4.3,2841,241,40,8,684,1025
252,4.1,57,14,36,16,1038,1429
253,4.3,3694,319,40,8,617,892
254,4.253596615,2841,241,40,32,3427,4463
255,4.2,974,75,36,8,415,744
256,4.3,574,55,40,8,562,794
257,4.2,67,6,36,8,696,899
258,4.2,123,16,36,16,782,914
259,4.2,31,3,40,16,663,1034
260,4.253596615,2841,241,40,8,781,1115
261,4.1,115,11,40,8,525,609
262,4.4,7358,982,40,8,678,855
263,4.3,252,29,40,8,745,1145
264,4.253596615,2841,241,40,8,708,916
265,4.253596615,2841,241,40,16,953,1075
266,4.2,10,2,34,16,1393,1623
267,4.3,115,6,40,8,482,726
268,5,11,2,35,8,1832,939
269,4.1,340,32,40,8,391,541
270,4.5,757,106,40,8,1087,1784
271,4.2,253,20,36,16,611,724
272,4.7,20,1,44,16,1087,1613
273,4.253596615,2841,241,36,8,463,621
274,4.253596615,2841,241,41,16,1081,1397
275,4.3,2841,241,40,8,684,1025
276,4.7,9278,829,34,8,1161,1221
277,4.1,506,48,40,8,519,748
278,4.253596615,2841,241,40,16,749,1099
279,4.2,974,75,36,8,415,744
280,4.7,14,4,34,16,1044,1211
281,4.253596615,2841,241,41,8,916,1129
282,4.253596615,2841,241,40,16,1704,2393
283,4.2,31,3,40,16,663,1034
284,4.253596615,2841,241,40,16,1136,1405
285,4.253596615,2841,241,40,8,1014,1264
286,4.253596615,2841,241,41,32,4275,939
287,3,4,0,40,8,654,990
288,4.253596615,2841,241,41,16,1955,2667
289,4.3,22,3,40,8,1833,2776
290,3.8,30,1,97,8,470,657
291,4.2,253,20,36,16,611,724
292,3.7,19,3,97,8,849,1239
293,4.253596615,2841,241,41,16,2932,3053
294,4.8,52,5,35,8,1466,939
295,4.3,2841,241,101,8,647,939
296,4.253596615,2841,241,41,16,733,916
297,4.3,13,2,40,8,989,1284
298,4.5,52,9,40,8,915,1319
299,4.3,2841,241,40,8,684,1025
300,4.3,329,43,40,4,440,542
301,4.4,13376,1431,40,8,647,1100
302,4.253596615,2841,241,40,16,2138,2895
303,4.2,974,75,36,8,415,744
304,4.5,456,72,40,8,977,1368
305,4.253596615,2841,241,40,16,1832,2114
306,4,51,8,40,8,977,1132
307,4.2,31,3,40,16,663,1034
308,4.7,3,2,41,32,2957,3519
309,3.8,4,2,40,16,819,1162
310,4.253596615,2841,241,34,16,977,1119
311,4.2,265,21,40,8,672,939
312,4.6,1162,126,34,8,1380,1440
313,4.5,262,25,40,8,915,1253
314,4.253596615,2841,241,41,8,1014,1180
315,4.2,253,20,36,16,611,724
316,5,5,0,40,16,1588,2236
317,4.4,139,26,40,8,463,621
318,4.5,1361,186,36,16,916,1136
319,4.3,2841,241,101,8,647,939
320,4.2,27,2,40,16,1099,1244
