Company,Rating,No_of_ratings,Review,Size,RAM,Price,MRP
HP,4.2,253,20,36,16,611,724
HP,4.1,139,15,40,8,779,954
ASUS,4.5,1361,186,36,16,916,1136
APPLE,4.8,122,15,35,8,1380,1465
Lenovo,4.3,2841,241,40,8,684,1025
ASUS,4.5,5181,566,40,8,745,916
Infinix,4.3,362,57,40,8,379,611
ASUS,4.4,205,21,36,8,550,782
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.5,127,7,40,8,806,1038
ASUS,4.5,126,15,40,8,1014,1270
HP,4.9,7,0,36,16,880,1036
Lenovo,4.2,31,3,40,16,663,1034
acer,3.9,9,1,40,16,953,1344
HP,4.3,28,2,36,16,696,877
MSI,4.253596615,2841,241,36,8,635,745
Lenovo,4.2,265,21,40,8,672,939
APPLE,4.253596615,2841,241,35,8,1698,939
ASUS,4.5,19,1,40,8,843,1051
ASUS,4.253596615,2841,241,40,16,1686,2382
Lenovo,4.253596615,2841,241,36,16,1196,939
Lenovo,4.3,760,76,36,8,415,614
ASUS,4.5,5181,566,40,8,733,1002
ASUS,5,6,0,40,16,1796,2162
HP,4.2,253,20,36,16,611,724
HP,4.3,43,5,40,16,916,1023
GIGABYTE,4.253596615,2841,241,40,16,1832,2003
Infinix,4.1,508,83,36,16,476,794
Lenovo,4.3,2841,241,101,8,647,939
HP,4.4,580,73,36,8,690,822
DELL,4.7,3,0,40,8,781,1115
HP,4.5,6,0,40,16,1332,1555
Lenovo,4.3,2841,241,40,8,684,1025
ASUS,4.1,24,3,36,16,977,1209
ASUS,4.253596615,2841,241,40,16,2175,2932
ASUS,4.8,5,1,40,16,1832,2309
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.2,26,2,40,4,232,342
ASUS,4.4,73,9,34,8,916,1161
Lenovo,3.6,87,16,40,4,385,451
Lenovo,4.2,31,3,40,16,663,1034
Lenovo,4,5,1,41,16,1454,1880
DELL,4.253596615,2841,241,40,16,1295,1467
ASUS,4.5,648,92,40,8,562,770
Lenovo,4.3,252,29,40,8,745,1145
Lenovo,4,5,1,41,16,1454,1880
DELL,4.253596615,2841,241,40,16,1295,1467
ASUS,4.253596615,2841,241,40,16,2590,3115
Lenovo,4.3,115,6,40,8,482,726
Lenovo,4.5,425,50,40,16,989,1384
DELL,4.3,45,4,40,8,737,1014
MSI,4.4,46,8,40,16,1330,1918
HP,4.2,253,20,36,16,611,724
ASUS,4.253596615,2841,241,34,32,3482,4178
ASUS,4.5,1361,186,36,16,916,1136
HP,4.253596615,2841,241,41,16,2082,2468
Lenovo,4.3,2841,241,40,8,684,1025
ASUS,4.1,57,14,36,16,1038,1429
ASUS,4.3,3694,319,40,8,617,892
DELL,4.253596615,2841,241,40,32,3427,4463
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.3,574,55,40,8,562,794
DELL,4.2,67,6,36,8,696,899
HP,4.2,123,16,36,16,782,914
Lenovo,4.2,31,3,40,16,663,1034
DELL,4.253596615,2841,241,40,8,781,1115
DELL,4.1,115,11,40,8,525,609
